country,date,GDP
China,2002-01-01,1.47055765479995
China,2003-01-01,1.66028054384679
China,2004-01-01,1.95534676872139
China,2005-01-01,2.28596114987985
China,2006-01-01,2.75211865718402
China,2007-01-01,3.5503278029984
China,2008-01-01,4.59433678573767
China,2009-01-01,5.10169112428521
China,2010-01-01,6.0871917466794905
China,2011-01-01,7.55154570344075
China,2012-01-01,8.53218538168059
China,2013-01-01,9.57047111183168
China,2014-01-01,10.4756249443552
China,2015-01-01,11.0615726185787
China,2016-01-01,11.2333137303487
China,2017-01-01,12.3104913339809
China,2018-01-01,13.8949078578806
China,2019-01-01,14.279968506271699
China,2020-01-01,14.687744162801
China,2021-01-01,17.8204595088522
China,2022-01-01,17.881783387000898
Germany,2002-01-01,2.07848451747451
Germany,2003-01-01,2.50164038848235
Germany,2004-01-01,2.81435386935908
Germany,2005-01-01,2.8468642111751
Germany,2006-01-01,2.99470364202353
Germany,2007-01-01,3.42557838292158
Germany,2008-01-01,3.74526409361719
Germany,2009-01-01,3.41126121265234
Germany,2010-01-01,3.3996678200000097
Germany,2011-01-01,3.7493149910505896
Germany,2012-01-01,3.52714318878516
Germany,2013-01-01,3.73380464954903
Germany,2014-01-01,3.88909305102352
Germany,2015-01-01,3.35758571935156
Germany,2016-01-01,3.4698534639455296
Germany,2017-01-01,3.69084915251765
Germany,2018-01-01,3.9744433550196
Germany,2019-01-01,3.8891775892549
Germany,2020-01-01,3.8877271619144103
Germany,2021-01-01,4.27850393468985
Germany,2022-01-01,4.08246949079768
Japan,2002-01-01,4.182846045873609
Japan,2003-01-01,4.51956164525353
Japan,2004-01-01,4.89311600565656
Japan,2005-01-01,4.8314670353897995
Japan,2006-01-01,4.60166312264992
Japan,2007-01-01,4.57975092035481
Japan,2008-01-01,5.106679115127299
Japan,2009-01-01,5.2894931179938895
Japan,2010-01-01,5.759071769013111
Japan,2011-01-01,6.23314717234135
Japan,2012-01-01,6.272362996105031
Japan,2013-01-01,5.21232818116618
Japan,2014-01-01,4.89699440535329
Japan,2015-01-01,4.44493065196418
Japan,2016-01-01,5.00367762754424
Japan,2017-01-01,4.93083736915142
Japan,2018-01-01,5.04088093932486
Japan,2019-01-01,5.11799385301651
Japan,2020-01-01,5.05558709350159
Japan,2021-01-01,5.03462078458498
Japan,2022-01-01,4.25641076072375
Switzerland,2002-01-01,0.309301422430386
Switzerland,2003-01-01,0.36207508650776
Switzerland,2004-01-01,0.403912891033374
Switzerland,2005-01-01,0.41828486588499797
Switzerland,2006-01-01,0.441634672196523
Switzerland,2007-01-01,0.490740715594802
Switzerland,2008-01-01,0.567267767519158
Switzerland,2009-01-01,0.554212916092271
Switzerland,2010-01-01,0.5988510289065799
Switzerland,2011-01-01,0.715888126682396
Switzerland,2012-01-01,0.68642022155799
Switzerland,2013-01-01,0.706234937370968
Switzerland,2014-01-01,0.726537808338
Switzerland,2015-01-01,0.6941181863796281
Switzerland,2016-01-01,0.687895460902713
Switzerland,2017-01-01,0.695200833086499
Switzerland,2018-01-01,0.725568717468001
Switzerland,2019-01-01,0.721369112726724
Switzerland,2020-01-01,0.741999406005627
Switzerland,2021-01-01,0.813408787222499
Switzerland,2022-01-01,0.8184265502064499
United Kingdom,2002-01-01,1.7857299160671498
United Kingdom,2003-01-01,2.05442285714286
United Kingdom,2004-01-01,2.4215250823874
United Kingdom,2005-01-01,2.54318
United Kingdom,2006-01-01,2.70844158233671
United Kingdom,2007-01-01,3.09051020408163
United Kingdom,2008-01-01,2.92941176470588
United Kingdom,2009-01-01,2.4128400062315
United Kingdom,2010-01-01,2.48548259618471
United Kingdom,2011-01-01,2.6638058348280698
United Kingdom,2012-01-01,2.7070897266146403
United Kingdom,2013-01-01,2.78485350253429
United Kingdom,2014-01-01,3.06470824792143
United Kingdom,2015-01-01,2.9279111409167298
United Kingdom,2016-01-01,2.6891065668996097
United Kingdom,2017-01-01,2.6801480523352996
United Kingdom,2018-01-01,2.87134034758179
United Kingdom,2019-01-01,2.85140716490781
United Kingdom,2020-01-01,2.6978065922938597
United Kingdom,2021-01-01,3.1415061566187004
United Kingdom,2022-01-01,3.08883976344502
